1pRank,2pRank,n,p1_win,p1_rate
0,0,10099,5030,0.49806911575403506
0,1,2582,1205,0.4666924864446166
0,2,2417,1086,0.44931733553992553
0,3,2397,946,0.39465999165623694
0,4,1257,573,0.45584725536992843
0,5,1102,478,0.4337568058076225
0,6,191,72,0.3769633507853403
0,7,68,20,0.29411764705882354
0,8,194,75,0.3865979381443299
0,9,205,63,0.3073170731707317
0,10,229,70,0.3056768558951965
0,11,77,12,0.15584415584415584
0,12,54,12,0.2222222222222222
0,13,68,18,0.2647058823529412
0,14,43,7,0.16279069767441862
0,15,162,41,0.25308641975308643
0,16,58,10,0.1724137931034483
0,17,66,10,0.15151515151515152
0,18,80,14,0.175
0,19,26,1,0.038461538461538464
0,20,25,6,0.24
0,21,31,3,0.0967741935483871
0,22,9,0,0
0,23,6,4,0.6666666666666666
0,24,2,0,0
0,25,5,1,0.2
0,26,4,0,0
0,29,1,0,0
1,0,2555,1384,0.5416829745596868
1,1,1452,727,0.5006887052341598
1,2,1231,598,0.48578391551584077
1,3,1690,773,0.457396449704142
1,4,942,383,0.40658174097664546
1,5,234,93,0.3974358974358974
1,6,367,106,0.2888283378746594
1,7,19,10,0.5263157894736842
1,8,48,8,0.16666666666666666
1,9,95,32,0.3368421052631579
1,10,72,20,0.2777777777777778
1,11,70,7,0.1
1,12,20,4,0.2
1,13,15,3,0.2
1,14,8,2,0.25
1,15,33,4,0.12121212121212122
1,16,10,2,0.2
1,17,13,1,0.07692307692307693
1,18,11,0,0
1,19,8,0,0
1,21,4,0,0
1,22,2,0,0
1,25,2,0,0
1,27,2,0,0
2,0,2481,1397,0.5630794034663442
2,1,1272,672,0.5283018867924528
2,2,1164,612,0.5257731958762887
2,3,1456,642,0.4409340659340659
2,4,1339,625,0.46676624346527257
2,5,778,290,0.37275064267352187
2,6,328,135,0.4115853658536585
2,7,121,48,0.39669421487603307
2,8,46,20,0.43478260869565216
2,9,69,26,0.37681159420289856
2,10,46,18,0.391304347826087
2,11,68,24,0.35294117647058826
2,12,64,17,0.265625
2,13,13,7,0.5384615384615384
2,14,10,2,0.2
2,15,26,4,0.15384615384615385
2,16,15,4,0.26666666666666666
2,17,13,0,0
2,18,11,3,0.2727272727272727
2,19,8,1,0.125
2,21,9,0,0
2,22,7,0,0
2,26,1,0,0
2,27,2,0,0
3,0,2528,1540,0.6091772151898734
3,1,1641,924,0.5630712979890311
3,2,1640,878,0.5353658536585366
3,3,2239,1160,0.5180884323358642
3,4,2065,931,0.45084745762711864
3,5,2145,889,0.4144522144522145
3,6,1489,613,0.4116856950973808
3,7,216,88,0.4074074074074074
3,8,340,144,0.4235294117647059
3,9,105,43,0.4095238095238095
3,10,81,18,0.2222222222222222
3,11,96,24,0.25
3,12,116,22,0.1896551724137931
3,13,111,12,0.10810810810810811
3,14,21,5,0.23809523809523808
