"","Estimate","Std. Error","z value","Pr(>|z|)"
"I(`2pRank` %>% as.factor)0",0.179553562917156,0.0053123164670566,33.7994854091669,2.00682910566654e-250
"I(`2pRank` %>% as.factor)1",0.133827342509059,0.0117411406895979,11.3981550896179,4.27073447324783e-30
"I(`2pRank` %>% as.factor)2",0.126516094229046,0.010339169841762,12.2365814823955,1.98206287593577e-34
"I(`2pRank` %>% as.factor)3",0.079818598749984,0.00839275314150247,9.51041897744831,1.8989615022052e-21
"I(`2pRank` %>% as.factor)4",0.085905529603001,0.00828980672261292,10.3627904096567,3.66122302788979e-25
"I(`2pRank` %>% as.factor)5",0.0713222913625505,0.00817771367125483,8.72154421513348,2.74433032572714e-18
"I(`2pRank` %>% as.factor)6",0.0479566806912422,0.00662027030856845,7.24391580041272,4.35912102833567e-13
"I(`2pRank` %>% as.factor)7",0.0437394720060202,0.00842829671200221,5.18959802918822,2.10748532450283e-07
"I(`2pRank` %>% as.factor)8",0.0589782747204986,0.00633694296008118,9.30705469372618,1.3142621593664e-20
"I(`2pRank` %>% as.factor)9",0.15598167254207,0.00530987682380432,29.3757610050012,1.12052635631254e-189
"I(`2pRank` %>% as.factor)10",0.0430490763224386,0.00543527826811138,7.92030770071264,2.3692353115476e-15
"I(`2pRank` %>% as.factor)11",-0.010958622488618,0.00529978989376788,-2.06774659152138,0.0386638582482976
"I(`2pRank` %>% as.factor)12",0.0642047371830743,0.00437577509593135,14.6727690010331,9.6332209948991e-49
"I(`2pRank` %>% as.factor)13",0.0191496268974575,0.00466063028767794,4.10880625912047,3.97709537865627e-05
"I(`2pRank` %>% as.factor)14",0.0443362005745158,0.00449192378292712,9.87020321738954,5.60509384740756e-23
"I(`2pRank` %>% as.factor)15",-0.0128894469771131,0.00342645467396703,-3.76174448623017,0.00016873237573875
"I(`2pRank` %>% as.factor)16",-0.0923265147792947,0.00447538828631789,-20.629833407205,1.48159601981098e-94
"I(`2pRank` %>% as.factor)17",-0.125862529572001,0.00476098264866605,-26.4362504255851,5.25133698613054e-154
"I(`2pRank` %>% as.factor)18",-0.133068709935432,0.00477666678301842,-27.8580683937397,8.6008856908532e-171
"I(`2pRank` %>% as.factor)19",-0.125283455807948,0.00607627476354245,-20.6184645499652,1.87412443441876e-94
"I(`2pRank` %>% as.factor)20",-0.139644885484252,0.00678179446614996,-20.5911409113419,3.29517630202685e-94
"I(`2pRank` %>% as.factor)21",-0.185108487649786,0.00687476861733249,-26.9257771356981,1.09641150216546e-159
"I(`2pRank` %>% as.factor)22",-0.179461908085454,0.00980597872396752,-18.3012744711365,8.0835619578278e-75
"I(`2pRank` %>% as.factor)23",-0.189204001475007,0.0115504969519616,-16.3805940352095,2.63160433080391e-60
"I(`2pRank` %>% as.factor)24",-0.197201604283504,0.0146717907095437,-13.4408681385584,3.48325990057939e-41
"I(`2pRank` %>% as.factor)25",-0.22386859265092,0.0183668041842305,-12.1887613329667,3.56803393163517e-34
"I(`2pRank` %>% as.factor)26",-0.3039645893812,0.0230857659053867,-13.1667535149992,1.36335136728894e-39
"I(`2pRank` %>% as.factor)27",-0.250757717597305,0.0338932108226155,-7.39846451578983,1.37768194544352e-13
"I(`2pRank` %>% as.factor)28",-0.357883977620438,0.0470310996498049,-7.60951753808126,2.75120979288065e-14
"I(`2pRank` %>% as.factor)29",-0.663449779216474,0.0609376295061546,-10.8873578541395,1.32426545482413e-27
