steamid,appid,playtime_forever,playtime_2weeks,1pPlayerName,rank,games,n,sample_weights
76561198074250659,389730,19.383333333333333,NA,allah,3,1,620,0.017261540174842698
76561198074250659,1778820,36.5,35.833333333333336,allah,3,1,620,0.017261540174842698
76561198984185726,389730,52.03333333333333,NA,MommyMilkers,5,1,673,0.018737123447853443
76561198984185726,1778820,112.21666666666667,38.63333333333333,MommyMilkers,5,1,673,0.018737123447853443
76561198046682344,389730,0,NA,BladeSenator,17,4,2221,0.061835291497299404
76561198046682344,1778820,0,NA,BladeSenator,17,4,2221,0.061835291497299404
76561198372848380,1778820,15.5,15.5,Semi,2,1,415,0.011554095439612451
76561198372848380,389730,9.166666666666666,0.65,Semi,2,1,415,0.011554095439612451
76561199036565407,389730,375.8333333333333,NA,SweatySpaghetti,20,1,1097,0.030541789631939417
76561199036565407,1778820,112.8,21.366666666666667,SweatySpaghetti,20,1,1097,0.030541789631939417
76561198311216252,389730,0,NA,Powdered Donut,19,1,1403,0.0390611949440392
76561198311216252,1778820,0,NA,Powdered Donut,19,1,1403,0.0390611949440392
76561198256483595,389730,109.56666666666666,NA,Fiyero,14,1,2393,0.06662397683612674
76561198256483595,1778820,103.1,50.8,Fiyero,14,1,2393,0.06662397683612674
76561198056340470,389730,0,NA,Liu Khang,5,1,673,0.018737123447853443
76561198056340470,1778820,65.38333333333334,35.2,Liu Khang,5,1,673,0.018737123447853443
76561198082607785,389730,2933.55,NA,Dante,26,10,115,0.0032017372904950166
76561198082607785,1778820,104.85,36.083333333333336,Dante,26,10,115,0.0032017372904950166
76561198261505341,389730,1820.3833333333334,NA,CHIMCHIM,18,3,2341,0.06517623475694638
76561198261505341,1778820,187.5,50.31666666666667,CHIMCHIM,18,3,2341,0.06517623475694638
76561198040335523,389730,368.65,NA,Supa,0,2,1511,0.04206804387772148
76561198040335523,1778820,121.81666666666666,23.216666666666665,Supa,0,2,1511,0.04206804387772148
76561198103721254,389730,2807.0666666666666,0.15,KuruRIng,27,1,58,0.0016147892421627039
76561198103721254,1778820,120.48333333333333,33.3,KuruRIng,27,1,58,0.0016147892421627039
76561198053641484,389730,0,NA,Tone,27,1,58,0.0016147892421627039
76561198053641484,1778820,0,NA,Tone,27,1,58,0.0016147892421627039
76561198030370636,389730,399.81666666666666,NA,LeeVanDam,21,1,1194,0.03324238543348739
76561198030370636,1778820,109.36666666666666,28.4,LeeVanDam,21,1,1194,0.03324238543348739
76561198059671306,389730,1431.6,NA,Junta,17,1,2221,0.061835291497299404
76561198059671306,1778820,215.96666666666667,73.08333333333333,Junta,17,1,2221,0.061835291497299404
76561198072263019,389730,38.9,NA,apple,14,3,2393,0.06662397683612674
76561198072263019,1778820,25.616666666666667,14.933333333333334,apple,14,3,2393,0.06662397683612674
76561198091645781,1778820,65.76666666666667,28.883333333333333,Gyama,9,1,1721,0.04791469458210368
76561198080193296,389730,0,NA,Chackus,10,3,1647,0.045854446238654714
76561198080193296,1778820,0,NA,Chackus,10,3,1647,0.045854446238654714
76561198110729536,1778820,71.46666666666667,24.466666666666665,PAV*,6,1,1020,0.028398017706999276
76561199069598076,1778820,179.2,155.3,ダーク・リーパー,8,1,1165,0.032434990812406035
76561197962507076,389730,94.16666666666667,NA,어이나다,9,1,1721,0.04791469458210368
76561197962507076,1778820,108.63333333333334,27.95,어이나다,9,1,1721,0.04791469458210368
76561198371808825,389730,2799.883333333333,NA,동쪽의 호랑이,24,2,260,0.007238710395901776
76561198371808825,1778820,142.25,50.733333333333334,동쪽의 호랑이,24,2,260,0.007238710395901776
76561198258631321,389730,0,NA,Voodoo,14,1,2393,0.06662397683612674
76561198258631321,1778820,0,NA,Voodoo,14,1,2393,0.06662397683612674
76561198993157305,1778820,55.1,55.1,Nongsnow,6,1,1020,0.028398017706999276
76561198079227845,389730,0,NA,Biggs,22,2,547,0.015229133025224122
76561198079227845,1778820,0,NA,Biggs,22,2,547,0.015229133025224122
76561198350817048,389730,126.45,NA,7e2o,20,4,1097,0.030541789631939417
76561198350817048,1778820,98.1,35.45,7e2o,20,4,1097,0.030541789631939417
76561198989232200,389730,167.38333333333333,NA,あーるわいおしーえいちあいえぬ,15,2,4383,0.12202795255860571
76561198989232200,1778820,138.76666666666668,45.35,あーるわいおしーえいちあいえぬ,15,2,4383,0.12202795255860571
76561198032973579,389730,878.55,NA,technoboi609,26,1,115,0.0032017372904950166
76561198032973579,1778820,106.98333333333333,39.56666666666667,technoboi609,26,1,115,0.0032017372904950166
